stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S1269,S1214,5.58046,-0.239707,5.58143,-0.239061
S1269,T1195,5.58046,-0.239707,5.58438,-0.240606
S1271,T1246,5.58297,-0.240332,5.57972,-0.24683
S1276,S1277,5.57365,-0.231588,5.57214,-0.230823
S1276,S2170,5.57365,-0.231588,5.56534,-0.225603
S1277,S1278,5.57214,-0.230823,5.5691,-0.228213
S1278,S1279,5.5691,-0.228213,5.55515,-0.218173
S1279,S1280,5.55515,-0.218173,5.55351,-0.214584
S1280,T113,5.55351,-0.214584,5.55108,-0.21306
S1284,S1285,5.55227,-0.214835,5.56866,-0.227572
S1285,S1269,5.56866,-0.227572,5.58046,-0.239707
S1290,S1291,5.5784,-0.244844,5.57663,-0.245677
S1291,S1292,5.57663,-0.245677,5.57579,-0.244184
S1292,S1293,5.57579,-0.244184,5.57464,-0.243517
S1293,S1294,5.57464,-0.243517,5.57371,-0.241981
S1294,S1295,5.57371,-0.241981,5.57165,-0.238609
S1295,S74,5.57165,-0.238609,5.56868,-0.237038
S1297,T75,5.56641,-0.233892,5.56507,-0.235921
S1297,T75,5.56641,-0.233892,5.56507,-0.235921
S13,S14,5.70448,-0.298623,5.6877,-0.281836
S1301,S1302,5.57321,-0.241136,5.57389,-0.242329
S1302,S1303,5.57389,-0.242329,5.57544,-0.244281
S1303,S1304,5.57544,-0.244281,5.57657,-0.245598
S1304,S1305,5.57657,-0.245598,5.57843,-0.244663
S1305,S1306,5.57843,-0.244663,5.57736,-0.242878
S1306,T1288,5.57736,-0.242878,5.57695,-0.242127
S1312,S1313,5.54309,-0.216124,5.5448,-0.216699
S1312,S1313,5.54309,-0.216124,5.5448,-0.216699
S1313,T900,5.5448,-0.216699,5.55023,-0.217098
S1313,S3402,5.5448,-0.216699,5.54826,-0.218337
S1313,S4268,5.5448,-0.216699,5.54832,-0.218295
S1313,S4638,5.5448,-0.216699,5.54776,-0.217777
S1313,S4638,5.5448,-0.216699,5.54776,-0.217777
S1317,S1318,5.53592,-0.21375,5.52969,-0.226001
S1318,S1319,5.52969,-0.226001,5.52916,-0.228612
S1319,S1320,5.52916,-0.228612,5.52758,-0.236279
S1320,T3099,5.52758,-0.236279,5.54566,-0.207564
S1320,S4572,5.52758,-0.236279,5.53001,-0.224566
S1320,S4589,5.52758,-0.236279,5.53002,-0.224221
S1320,S4815,5.52758,-0.236279,5.5298,-0.225399
S1321,S1320,5.52712,-0.239462,5.52758,-0.236279
S1321,S1322,5.52712,-0.239462,5.52698,-0.241652
S1322,S1323,5.52698,-0.241652,5.52637,-0.249082
S1322,S4813,5.52698,-0.241652,5.52745,-0.237008
S1323,T894,5.52637,-0.249082,5.52624,-0.250577
S1327,T1328,5.60488,-0.216744,5.60746,-0.217957
S1331,S1333,5.60938,-0.210393,5.60783,-0.208087
S1331,S569,5.60938,-0.210393,5.60749,-0.207327
S1331,S3642,5.60938,-0.210393,5.59391,-0.194835
S1331,S3876,5.60938,-0.210393,5.60484,-0.203544
S1333,S569,5.60783,-0.208087,5.60749,-0.207327
S1336,S2885,5.59239,-0.204243,5.59468,-0.202276
S1336,S1337,5.59239,-0.204243,5.58969,-0.207225
S1336,S200,5.59239,-0.204243,5.58503,-0.208133
S1336,S1337,5.59239,-0.204243,5.58969,-0.207225
S1336,S1337,5.59239,-0.204243,5.58969,-0.207225
S1336,S3326,5.59239,-0.204243,5.59204,-0.205446
S1336,S3715,5.59239,-0.204243,5.5889,-0.196539
S1337,S1338,5.58969,-0.207225,5.58808,-0.207514
S1337,S564,5.58969,-0.207225,5.59829,-0.198232
S1337,S2911,5.58969,-0.207225,5.59363,-0.206633
S1337,S2958,5.58969,-0.207225,5.59181,-0.205657
S1337,S1339,5.58969,-0.207225,5.58577,-0.207877
S1337,T2616,5.58969,-0.207225,5.58536,-0.207974
S1337,T2616,5.58969,-0.207225,5.58536,-0.207974
S1337,T2616,5.58969,-0.207225,5.58536,-0.207974
S1338,S1339,5.58808,-0.207514,5.58577,-0.207877
S1339,S1340,5.58577,-0.207877,5.58138,-0.209198
S1339,S561,5.58577,-0.207877,5.58201,-0.208783
S1339,S4041,5.58577,-0.207877,5.56356,-0.201821
S1340,S1341,5.58138,-0.209198,5.5764,-0.211023
S1340,S2773,5.58138,-0.209198,5.58225,-0.208613
S1341,T1043,5.5764,-0.211023,5.56932,-0.215881
S1348,S1350,5.57404,-0.252797,5.56501,-0.235657
S135,T136,5.58111,-0.197356,5.58137,-0.198538
S1350,S1102,5.56501,-0.235657,5.56432,-0.234364
S1350,S1668,5.56501,-0.235657,5.56039,-0.22768
S1350,T113,5.56501,-0.235657,5.55108,-0.21306
S1350,S1023,5.56501,-0.235657,5.55802,-0.231264
S1350,S3053,5.56501,-0.235657,5.58061,-0.262417
S1350,S3584,5.56501,-0.235657,5.56841,-0.219678
S1357,S1358,5.57714,-0.233756,5.58392,-0.234008
S1358,S1359,5.58392,-0.234008,5.5965,-0.245395
S1359,T1360,5.5965,-0.245395,5.59846,-0.247616
S1363,S1364,5.59836,-0.247529,5.58903,-0.240802
S1364,S1366,5.58903,-0.240802,5.58793,-0.226911
S1364,S3380,5.58903,-0.240802,5.59537,-0.242592
S1366,S5598,5.58793,-0.226911,5.58548,-0.225276
S1366,S1368,5.58793,-0.226911,5.58034,-0.220456
S1366,S1379,5.58793,-0.226911,5.5858,-0.225481
S1368,S1369,5.58034,-0.220456,5.57919,-0.217
S1369,S1370,5.57919,-0.217,5.57301,-0.216396
S1370,S5318,5.57301,-0.216396,5.59082,-0.218245
S1370,T1043,5.57301,-0.216396,5.56932,-0.215881
S1370,T1043,5.57301,-0.216396,5.56932,-0.215881
S1370,T1043,5.57301,-0.216396,5.56932,-0.215881
S1370,T1043,5.57301,-0.216396,5.56932,-0.215881
S1377,S1366,5.58956,-0.228225,5.58793,-0.226911
S1379,S1380,5.5858,-0.225481,5.57723,-0.221138
S1380,S1381,5.57723,-0.221138,5.58005,-0.219768
S1381,S1370,5.58005,-0.219768,5.57301,-0.216396
S1386,S1387,5.57997,-0.210309,5.58122,-0.209368
S1387,S1388,5.58122,-0.209368,5.59011,-0.207086
S1387,T202,5.58122,-0.209368,5.58344,-0.208276
S1387,S5513,5.58122,-0.209368,5.58238,-0.208661
S1387,S2903,5.58122,-0.209368,5.58011,-0.210158
S1388,S1389,5.59011,-0.207086,5.59124,-0.206246
S1388,S5519,5.59011,-0.207086,5.5921,-0.205401
S1389,S1390,5.59124,-0.206246,5.5947,-0.207789
S1390,T470,5.5947,-0.207789,5.59591,-0.209171
S1394,S1395,5.58781,-0.207573,5.58569,-0.207979
S1395,S1396,5.58569,-0.207979,5.58409,-0.20826
S1396,S1397,5.58409,-0.20826,5.57379,-0.214903
S1397,T1043,5.57379,-0.214903,5.56932,-0.215881
S1397,T1325,5.57379,-0.214903,5.5728,-0.215844
S14,S15,5.6877,-0.281836,5.65746,-0.265435
S14,S15,5.6877,-0.281836,5.65746,-0.265435
S14,S5378,5.6877,-0.281836,5.65769,-0.26566
S14,S5994,5.6877,-0.281836,5.67237,-0.271994
S14,S427,5.6877,-0.281836,5.65714,-0.265024
S14,S617,5.6877,-0.281836,5.65779,-0.265495
S14,S658,5.6877,-0.281836,5.68573,-0.279724
S1407,S1408,5.57599,-0.213217,5.5788,-0.211042
S1408,S1387,5.5788,-0.211042,5.58122,-0.209368
S1413,S1397,5.579,-0.209079,5.57379,-0.214903
